bead_length,length,width,depth,reference_width,reference_depth
0.07999999821186066,169.93199288845065,127.53300368785857,70.78289985656738,60.9528012573719,20.782899111509323
0.10000000149011613,188.06399405002594,131.9960057735443,74.31560009717941,68.85430216789246,24.315599352121353
0.11999999731779099,204.27800714969635,134.36199724674225,76.63659751415253,74.60249960422517,26.63660049438477
0.14000000059604645,221.65800631046295,137.0439976453781,77.70120352506638,78.3212035894394,27.70120091736317
0.1599999964237213,237.2339963912964,139.17100429534912,78.33930104970933,80.96639811992645,28.33930030465126
0.18000000715255737,251.15299224853516,140.01800119876862,79.1298970580101,82.9923003911972,29.129900038242344
0.20000000298023227,266.17199182510376,141.198992729187,79.22949641942978,84.31120216846466,29.229499399662018
0.2199999988079071,279.4240117073059,141.97500050067902,79.3071985244751,85.40389686822891,29.307199642062187
0.23999999463558197,291.8049991130829,142.52300560474396,79.37730103731155,86.02780103683472,29.377300292253498
0.25999999046325684,305.5630028247833,142.69299805164337,79.30810004472733,86.47439628839493,29.30809929966927
0.2800000011920929,317.795991897583,143.0020034313202,79.33919876813889,86.60849928855896,29.33919988572598
0.30000001192092896,328.70200276374817,143.06999742984772,79.3922021985054,86.56950294971466,29.392199590802193
0.3199999928474426,341.23000502586365,143.18500459194183,79.33080196380615,86.68670058250427,29.330799356102947
0.3400000035762787,351.8710136413574,143.22799444198608,79.33779805898666,86.74509823322296,29.337799176573753
0.36000001430511475,361.2230122089386,143.1249976158142,79.37850058078766,86.67969703674318,29.3784998357296
0.3799999952316285,371.9330132007599,143.2349979877472,79.3112963438034,86.73550188541412,29.311299324035645
0.40000000596046453,380.59601187705994,143.2649940252304,79.34150099754333,86.76119893789291,29.341500252485275
0.41999998688697815,387.7449929714203,143.20600032806396,79.3927013874054,86.68790012598038,29.39270064234734
0.4399999976158142,396.0149884223938,143.25499534606934,79.33119684457779,86.74339950084686,29.33119982481003
0.46000000834465027,401.9930064678192,143.27700436115268,79.33810353279114,86.76259964704514,29.338100925087932
0.47999998927116394,406.27598762512207,143.21400225162506,79.37850058078766,86.69169992208481,29.3784998357296
0.5,411.5929901599884,143.2570070028305,79.3112963438034,86.74100041389465,29.311299324035645
0.5199999809265137,414.7379994392395,143.27700436115268,79.34150099754333,86.76259964704514,29.341500252485275
0.5400000214576721,416.3550138473511,143.2130038738251,79.3927013874054,86.68959885835648,29.39270064234734
0.5600000023841858,419.2639887332916,143.25599372386932,79.33119684457779,86.74360066652298,29.33119982481003
0.5799999833106995,420.2609956264496,143.27800273895264,79.33810353279114,86.76300197839737,29.338100925087932
0.6000000238418579,420.0829863548279,143.21500062942508,79.37859743833542,86.6919979453087,29.378600418567657
0.6200000047683716,421.82600498199463,143.2570070028305,79.31140065193178,86.74120157957077,29.311399906873703
0.6399999856948853,421.96398973464966,143.27700436115268,79.3415978550911,86.76230162382126,29.341600835323334
0.6600000262260437,421.1120009422302,143.2130038738251,79.3927013874054,86.68970316648483,29.39270064234734
0.6800000071525574,422.4649965763092,143.25599372386932,79.33119684457779,86.74360066652298,29.33119982481003
0.699999988079071,422.3729968070984,143.27800273895264,79.33810353279114,86.76309883594513,29.338100925087932
0.7200000286102295,421.35998606681824,143.21500062942508,79.37859743833542,86.69210225343704,29.378600418567657
0.7400000095367432,422.5980043411255,143.2570070028305,79.31140065193178,86.74120157957077,29.311399906873703
0.759999990463257,422.44601249694824,143.27700436115268,79.3415978550911,86.76239848136902,29.341600835323334
0.7799999713897706,421.4000105857849,143.2130038738251,79.3927013874054,86.68970316648483,29.39270064234734
0.8000000119209291,422.62399196624756,143.25599372386932,79.33119684457779,86.74369752407074,29.33119982481003
0.8199999928474426,422.4649965763092,143.27800273895264,79.33810353279114,86.76309883594513,29.338100925087932
0.8399999737739563,421.4099943637848,143.21500062942508,79.37859743833542,86.69210225343704,29.378600418567657
0.8600000143051147,422.62399196624756,143.2570070028305,79.31140065193178,86.74120157957077,29.311399906873703
0.8799999952316284,422.45998978614807,143.27700436115268,79.3415978550911,86.76230162382126,29.341600835323334
0.8999999761581421,421.4079976081848,143.2130038738251,79.3927013874054,86.68959885835648,29.39270064234734
0.9200000166893005,422.6289987564087,143.25599372386932,79.33119684457779,86.74349635839462,29.33119982481003
0.9399999976158142,422.46800661087036,143.27800273895264,79.33810353279114,86.76300197839737,29.338100925087932
0.9599999785423279,421.41300439834595,143.21500062942508,79.37859743833542,86.69190108776093,29.378600418567657
0.9800000190734862,422.62598872184753,143.2570070028305,79.31140065193178,86.74109727144243,29.311399906873703
1.0,422.46198654174805,143.27700436115268,79.3415978550911,86.7621973156929,29.341600835323334
1.019999980926514,421.4099943637848,143.2130038738251,79.3927013874054,86.68950200080872,29.39270064234734
1.0399999618530273,422.6300120353699,143.25599372386932,79.33119684457779,86.74349635839462,29.33119982481003
1.059999942779541,422.46899008750916,143.27800273895264,79.33810353279114,86.76289767026901,29.338100925087932
1.0800000429153442,421.41300439834595,143.21500062942508,79.37859743833542,86.69190108776093,29.378600418567657
1.1000000238418581,422.6270020008087,143.2570070028305,79.31140065193178,86.74109727144243,29.311399906873703
1.1200000047683716,422.46198654174805,143.27700436115268,79.3415978550911,86.7621973156929,29.341600835323334
1.1399999856948853,421.409010887146,143.2130038738251,79.3927013874054,86.68950200080872,29.39270064234734
1.159999966621399,422.6289987564087,143.25599372386932,79.33119684457779,86.74349635839462,29.33119982481003
1.1799999475479126,422.46800661087036,143.27800273895264,79.33810353279114,86.76300197839737,29.338100925087932
1.2000000476837158,421.5730130672455,143.02900433540347,79.23059910535812,86.75629645586014,29.230600222945217
